State,Year,Quater,Brands,Transaction_count,percentage
Andaman & Nicobar,2018,1,Xiaomi,1665,0.2470326409495549
Andaman & Nicobar,2018,1,Samsung,1445,0.21439169139465875
Andaman & Nicobar,2018,1,Vivo,982,0.1456973293768546
Andaman & Nicobar,2018,1,Oppo,501,0.07433234421364986
Andaman & Nicobar,2018,1,OnePlus,332,0.04925816023738872
Andaman & Nicobar,2018,1,Realme,316,0.04688427299703264
Andaman & Nicobar,2018,1,Apple,229,0.03397626112759644
Andaman & Nicobar,2018,1,Motorola,226,0.03353115727002967
Andaman & Nicobar,2018,1,Lenovo,202,0.02997032640949555
Andaman & Nicobar,2018,1,Huawei,158,0.02344213649851632
Andaman & Nicobar,2018,1,Others,684,0.10148367952522255
Andaman & Nicobar,2018,2,Xiaomi,2303,0.24486975013290802
Andaman & Nicobar,2018,2,Samsung,1923,0.20446570972886763
Andaman & Nicobar,2018,2,Vivo,1523,0.1619351408825093
Andaman & Nicobar,2018,2,Oppo,708,0.07527910685805422
Andaman & Nicobar,2018,2,OnePlus,466,0.049548112706007445
Andaman & Nicobar,2018,2,Realme,465,0.049441786283891544
Andaman & Nicobar,2018,2,Motorola,319,0.03391812865497076
Andaman & Nicobar,2018,2,Apple,308,0.03274853801169591
Andaman & Nicobar,2018,2,Lenovo,244,0.025943646996278574
Andaman & Nicobar,2018,2,Huawei,230,0.024455077086656035
Andaman & Nicobar,2018,2,Others,916,0.09739500265816055
Andaman & Nicobar,2018,3,Xiaomi,2950,0.24281833895793892
Andaman & Nicobar,2018,3,Samsung,2409,0.19828792493209318
Andaman & Nicobar,2018,3,Vivo,2063,0.1698082146678739
Andaman & Nicobar,2018,3,Oppo,988,0.08132356572557412
Andaman & Nicobar,2018,3,OnePlus,617,0.05078607292781299
Andaman & Nicobar,2018,3,Realme,603,0.04963371470902955
Andaman & Nicobar,2018,3,Motorola,390,0.03210140752325294
Andaman & Nicobar,2018,3,Apple,371,0.03053749279776113
Andaman & Nicobar,2018,3,Huawei,314,0.0258457486212857
Andaman & Nicobar,2018,3,Lenovo,299,0.024611079101160588
Andaman & Nicobar,2018,3,Others,1145,0.09424644003621697
Andaman & Nicobar,2018,4,Xiaomi,3719,0.24431743529102615
Andaman & Nicobar,2018,4,Samsung,2936,0.19287872815661541
Andaman & Nicobar,2018,4,Vivo,2742,0.1801340165549862
Andaman & Nicobar,2018,4,Oppo,1268,0.08330048613848377
Andaman & Nicobar,2018,4,Realme,760,0.04992773617133097
Andaman & Nicobar,2018,4,OnePlus,721,0.0473656549730653
Andaman & Nicobar,2018,4,Motorola,474,0.031139140717382736
Andaman & Nicobar,2018,4,Apple,455,0.02989094731309946
Andaman & Nicobar,2018,4,Huawei,398,0.02614636710024964
Andaman & Nicobar,2018,4,Lenovo,377,0.024766784916568124
Andaman & Nicobar,2018,4,Others,1372,0.09013270266719223
Andaman & Nicobar,2019,1,Xiaomi,4576,0.24607442460744247
Andaman & Nicobar,2019,1,Samsung,3567,0.19181544418154442
Andaman & Nicobar,2019,1,Vivo,3420,0.18391051839105185
Andaman & Nicobar,2019,1,Oppo,1600,0.08604000860400086
Andaman & Nicobar,2019,1,Realme,897,0.04823617982361798
Andaman & Nicobar,2019,1,OnePlus,855,0.04597762959776296
Andaman & Nicobar,2019,1,Motorola,561,0.0301677780167778
Andaman & Nicobar,2019,1,Apple,515,0.027694127769412775
Andaman & Nicobar,2019,1,Huawei,515,0.027694127769412775
Andaman & Nicobar,2019,1,Lenovo,426,0.02290815229081523
Andaman & Nicobar,2019,1,Others,1664,0.0894816089481609
Andaman & Nicobar,2019,2,Xiaomi,5296,0.24370714647278083
Andaman & Nicobar,2019,2,Samsung,4165,0.19166168146886936
Andaman & Nicobar,2019,2,Vivo,4102,0.18876259721135705
