State,Year,Quater,Districts,Registered_Users,app_opens
Andaman & Nicobar,2018,1,north and middle andaman district,632,0
Andaman & Nicobar,2018,1,south andaman district,5846,0
Andaman & Nicobar,2018,1,nicobars district,262,0
Andaman & Nicobar,2018,2,north and middle andaman district,911,0
Andaman & Nicobar,2018,2,south andaman district,8143,0
Andaman & Nicobar,2018,2,nicobars district,351,0
Andaman & Nicobar,2018,3,north and middle andaman district,1208,0
Andaman & Nicobar,2018,3,south andaman district,10474,0
Andaman & Nicobar,2018,3,nicobars district,467,0
Andaman & Nicobar,2018,4,north and middle andaman district,1553,0
Andaman & Nicobar,2018,4,south andaman district,13133,0
Andaman & Nicobar,2018,4,nicobars district,536,0
Andaman & Nicobar,2019,1,north and middle andaman district,2013,0
Andaman & Nicobar,2019,1,south andaman district,15961,0
Andaman & Nicobar,2019,1,nicobars district,622,0
Andaman & Nicobar,2019,2,north and middle andaman district,2417,6118
Andaman & Nicobar,2019,2,south andaman district,18621,43569
Andaman & Nicobar,2019,2,nicobars district,693,2953
Andaman & Nicobar,2019,3,north and middle andaman district,2662,22064
Andaman & Nicobar,2019,3,south andaman district,20518,138190
Andaman & Nicobar,2019,3,nicobars district,751,10853
Andaman & Nicobar,2019,4,north and middle andaman district,2955,26253
Andaman & Nicobar,2019,4,south andaman district,22202,139646
Andaman & Nicobar,2019,4,nicobars district,803,11113
Andaman & Nicobar,2020,1,north and middle andaman district,3315,30444
Andaman & Nicobar,2020,1,south andaman district,24174,151529
Andaman & Nicobar,2020,1,nicobars district,879,11613
Andaman & Nicobar,2020,2,north and middle andaman district,4100,56992
Andaman & Nicobar,2020,2,south andaman district,27626,231071
Andaman & Nicobar,2020,2,nicobars district,984,17009
Andaman & Nicobar,2020,3,north and middle andaman district,5355,76553
Andaman & Nicobar,2020,3,south andaman district,34833,417785
Andaman & Nicobar,2020,3,nicobars district,1147,21227
Andaman & Nicobar,2020,4,north and middle andaman district,7076,125915
Andaman & Nicobar,2020,4,south andaman district,43908,725321
Andaman & Nicobar,2020,4,nicobars district,1412,35972
Andaman & Nicobar,2021,1,north and middle andaman district,7833,121680
Andaman & Nicobar,2021,1,south andaman district,48352,837589
Andaman & Nicobar,2021,1,nicobars district,1573,45067
Andaman & Nicobar,2021,2,north and middle andaman district,8493,596182
Andaman & Nicobar,2021,2,south andaman district,51903,1270226
Andaman & Nicobar,2021,2,nicobars district,1699,381815
Andaman & Nicobar,2021,3,north and middle andaman district,9263,759314
Andaman & Nicobar,2021,3,south andaman district,55873,1771107
Andaman & Nicobar,2021,3,nicobars district,1846,591204
Andaman & Nicobar,2021,4,north and middle andaman district,10002,171921
Andaman & Nicobar,2021,4,south andaman district,59807,1863037
Andaman & Nicobar,2021,4,nicobars district,1971,77952
Andaman & Nicobar,2022,1,north and middle andaman district,10720,904869
Andaman & Nicobar,2022,1,south andaman district,63487,2368756
Andaman & Nicobar,2022,1,nicobars district,2081,573782
Andaman & Nicobar,2022,2,north and middle andaman district,11379,963824
Andaman & Nicobar,2022,2,south andaman district,66959,3404740
Andaman & Nicobar,2022,2,nicobars district,2192,811449
Andaman & Nicobar,2022,3,north and middle andaman district,11897,1176567
Andaman & Nicobar,2022,3,south andaman district,70445,3607286
Andaman & Nicobar,2022,3,nicobars district,2300,1284501
Andaman & Nicobar,2022,4,north and middle andaman district,12361,313502
Andaman & Nicobar,2022,4,south andaman district,73692,3881359
Andaman & Nicobar,2022,4,nicobars district,2389,159232
Andaman & Nicobar,2023,1,north and middle andaman district,12941,3103047
Andaman & Nicobar,2023,1,south andaman district,77052,5450795
Andaman & Nicobar,2023,1,nicobars district,2491,2458822
Andaman & Nicobar,2023,2,north and middle andaman district,13600,3174229
Andaman & Nicobar,2023,2,south andaman district,80112,6884657
Andaman & Nicobar,2023,2,nicobars district,2617,4679790
Andaman & Nicobar,2023,3,north and middle andaman district,14216,7130284
Andaman & Nicobar,2023,3,south andaman district,83305,5950899
Andaman & Nicobar,2023,3,nicobars district,2734,7463896
Andaman & Nicobar,2023,4,north and middle andaman district,14813,1869462
Andaman & Nicobar,2023,4,south andaman district,86348,7452861
Andaman & Nicobar,2023,4,nicobars district,2817,523637
Andhra Pradesh,2018,1,east godavari district,350356,0
Andhra Pradesh,2018,1,srikakulam district,143839,0
Andhra Pradesh,2018,1,visakhapatnam district,497187,0
Andhra Pradesh,2018,1,prakasam district,189949,0
Andhra Pradesh,2018,1,anantapur district,241192,0
Andhra Pradesh,2018,1,kurnool district,240133,0
Andhra Pradesh,2018,1,guntur district,317065,0
Andhra Pradesh,2018,1,krishna district,323673,0
Andhra Pradesh,2018,1,spsr nellore district,194475,0
Andhra Pradesh,2018,1,vizianagaram district,128905,0
Andhra Pradesh,2018,1,ysr district,186800,0
Andhra Pradesh,2018,1,west godavari district,213335,0
Andhra Pradesh,2018,1,chittoor district,309541,0
Andhra Pradesh,2018,2,east godavari district,454398,0
Andhra Pradesh,2018,2,srikakulam district,186913,0
Andhra Pradesh,2018,2,visakhapatnam district,636052,0
Andhra Pradesh,2018,2,prakasam district,253458,0
Andhra Pradesh,2018,2,anantapur district,326383,0
Andhra Pradesh,2018,2,kurnool district,319313,0
Andhra Pradesh,2018,2,guntur district,420326,0
Andhra Pradesh,2018,2,krishna district,431965,0
Andhra Pradesh,2018,2,spsr nellore district,261049,0
Andhra Pradesh,2018,2,vizianagaram district,167327,0
Andhra Pradesh,2018,2,ysr district,248657,0
Andhra Pradesh,2018,2,west godavari district,282393,0
Andhra Pradesh,2018,2,chittoor district,414306,0
Andhra Pradesh,2018,3,east godavari district,558982,0
Andhra Pradesh,2018,3,srikakulam district,228456,0
Andhra Pradesh,2018,3,visakhapatnam district,769096,0
Andhra Pradesh,2018,3,prakasam district,314899,0
Andhra Pradesh,2018,3,anantapur district,405855,0
Andhra Pradesh,2018,3,kurnool district,394311,0
Andhra Pradesh,2018,3,guntur district,518931,0
Andhra Pradesh,2018,3,krishna district,537086,0
Andhra Pradesh,2018,3,spsr nellore district,322446,0
Andhra Pradesh,2018,3,vizianagaram district,203655,0
Andhra Pradesh,2018,3,ysr district,308391,0
Andhra Pradesh,2018,3,west godavari district,349782,0
Andhra Pradesh,2018,3,chittoor district,515727,0
Andhra Pradesh,2018,4,east godavari district,694455,0
Andhra Pradesh,2018,4,srikakulam district,284874,0
Andhra Pradesh,2018,4,visakhapatnam district,978288,0
Andhra Pradesh,2018,4,prakasam district,394962,0
Andhra Pradesh,2018,4,anantapur district,510892,0
Andhra Pradesh,2018,4,kurnool district,498582,0
Andhra Pradesh,2018,4,guntur district,659552,0
Andhra Pradesh,2018,4,krishna district,682479,0
Andhra Pradesh,2018,4,spsr nellore district,407495,0
Andhra Pradesh,2018,4,vizianagaram district,257824,0
Andhra Pradesh,2018,4,ysr district,387058,0
Andhra Pradesh,2018,4,west godavari district,435668,0
Andhra Pradesh,2018,4,chittoor district,665280,0
Andhra Pradesh,2019,1,east godavari district,839277,0
Andhra Pradesh,2019,1,srikakulam district,345775,0
Andhra Pradesh,2019,1,visakhapatnam district,1174517,0
Andhra Pradesh,2019,1,prakasam district,474260,0
Andhra Pradesh,2019,1,anantapur district,612162,0
Andhra Pradesh,2019,1,kurnool district,599422,0
Andhra Pradesh,2019,1,guntur district,802394,0
Andhra Pradesh,2019,1,krishna district,833694,0
Andhra Pradesh,2019,1,spsr nellore district,491908,0
Andhra Pradesh,2019,1,vizianagaram district,313334,0
Andhra Pradesh,2019,1,ysr district,460590,0
Andhra Pradesh,2019,1,west godavari district,523372,0
Andhra Pradesh,2019,1,chittoor district,812314,0
Andhra Pradesh,2019,2,east godavari district,945181,7156762
Andhra Pradesh,2019,2,srikakulam district,392764,3230330
Andhra Pradesh,2019,2,visakhapatnam district,1318740,13681907
Andhra Pradesh,2019,2,prakasam district,539462,4488365
Andhra Pradesh,2019,2,anantapur district,695114,6056591
Andhra Pradesh,2019,2,kurnool district,680118,6240480
Andhra Pradesh,2019,2,guntur district,915256,7268875
Andhra Pradesh,2019,2,krishna district,952300,7822632
Andhra Pradesh,2019,2,spsr nellore district,558303,4774473
Andhra Pradesh,2019,2,vizianagaram district,355058,3541678
Andhra Pradesh,2019,2,ysr district,519031,4345848
Andhra Pradesh,2019,2,west godavari district,592185,3853094
Andhra Pradesh,2019,2,chittoor district,925491,8914216
Andhra Pradesh,2019,3,east godavari district,1057167,28275322
Andhra Pradesh,2019,3,srikakulam district,437939,11813195
Andhra Pradesh,2019,3,visakhapatnam district,1460464,54836001
Andhra Pradesh,2019,3,prakasam district,598568,16267041
Andhra Pradesh,2019,3,anantapur district,773656,22845084
Andhra Pradesh,2019,3,kurnool district,755024,22827473
Andhra Pradesh,2019,3,guntur district,1026418,28477132
Andhra Pradesh,2019,3,krishna district,1066546,30077671
Andhra Pradesh,2019,3,spsr nellore district,619592,17768733
Andhra Pradesh,2019,3,vizianagaram district,394375,13065845
Andhra Pradesh,2019,3,ysr district,574109,15833900
Andhra Pradesh,2019,3,west godavari district,662102,14227407
Andhra Pradesh,2019,3,chittoor district,1032733,34638738
Andhra Pradesh,2019,4,east godavari district,1195228,38299189
Andhra Pradesh,2019,4,srikakulam district,496266,16353822
Andhra Pradesh,2019,4,visakhapatnam district,1620235,70749983
Andhra Pradesh,2019,4,prakasam district,673522,21639748
Andhra Pradesh,2019,4,anantapur district,873033,30278539
Andhra Pradesh,2019,4,kurnool district,846885,29676997
Andhra Pradesh,2019,4,guntur district,1158708,37846179
Andhra Pradesh,2019,4,krishna district,1199971,39407473
Andhra Pradesh,2019,4,spsr nellore district,697154,23608360
Andhra Pradesh,2019,4,vizianagaram district,443810,17515311
Andhra Pradesh,2019,4,ysr district,646642,21543798
Andhra Pradesh,2019,4,west godavari district,750078,19393528
Andhra Pradesh,2019,4,chittoor district,1156351,44888591
Andhra Pradesh,2020,1,east godavari district,1329664,46142746
Andhra Pradesh,2020,1,srikakulam district,552007,20975989
Andhra Pradesh,2020,1,visakhapatnam district,1763581,77558624
Andhra Pradesh,2020,1,prakasam district,748655,26870693
Andhra Pradesh,2020,1,anantapur district,971850,36900103
Andhra Pradesh,2020,1,kurnool district,936293,34198350
Andhra Pradesh,2020,1,guntur district,1289678,45282758
Andhra Pradesh,2020,1,krishna district,1331602,46079408
Andhra Pradesh,2020,1,spsr nellore district,775440,28879364
Andhra Pradesh,2020,1,vizianagaram district,490683,21562104
Andhra Pradesh,2020,1,ysr district,717865,26166193
Andhra Pradesh,2020,1,west godavari district,843835,24542868
Andhra Pradesh,2020,1,chittoor district,1270907,51354573
Andhra Pradesh,2020,2,east godavari district,1459116,45884498
Andhra Pradesh,2020,2,srikakulam district,608002,23808009
Andhra Pradesh,2020,2,visakhapatnam district,1904719,69684456
Andhra Pradesh,2020,2,prakasam district,830709,32255276
Andhra Pradesh,2020,2,anantapur district,1076953,39704703
Andhra Pradesh,2020,2,kurnool district,1035093,36268390
Andhra Pradesh,2020,2,guntur district,1426271,44267596
Andhra Pradesh,2020,2,krishna district,1459041,41234166
Andhra Pradesh,2020,2,spsr nellore district,854459,30816403
Andhra Pradesh,2020,2,vizianagaram district,537798,24370380
Andhra Pradesh,2020,2,ysr district,796769,29644037
Andhra Pradesh,2020,2,west godavari district,944829,26583613
Andhra Pradesh,2020,2,chittoor district,1385916,49820171
Andhra Pradesh,2020,3,east godavari district,1601940,64292857
Andhra Pradesh,2020,3,srikakulam district,667858,31794753
Andhra Pradesh,2020,3,visakhapatnam district,2058346,102589371
Andhra Pradesh,2020,3,prakasam district,915240,44970519
Andhra Pradesh,2020,3,anantapur district,1186851,55714787
Andhra Pradesh,2020,3,kurnool district,1132240,49164718
Andhra Pradesh,2020,3,guntur district,1567595,62427501
Andhra Pradesh,2020,3,krishna district,1599289,61028114
Andhra Pradesh,2020,3,spsr nellore district,937176,43951448
Andhra Pradesh,2020,3,vizianagaram district,587784,31199437
Andhra Pradesh,2020,3,ysr district,877909,41578067
Andhra Pradesh,2020,3,west godavari district,1053674,38126238
Andhra Pradesh,2020,3,chittoor district,1506503,69462572
Andhra Pradesh,2020,4,east godavari district,1746280,82605352
Andhra Pradesh,2020,4,srikakulam district,726761,36770992
Andhra Pradesh,2020,4,visakhapatnam district,2209658,124730170
Andhra Pradesh,2020,4,prakasam district,999462,52839846
Andhra Pradesh,2020,4,anantapur district,1295872,69562398
Andhra Pradesh,2020,4,kurnool district,1230466,60615045
Andhra Pradesh,2020,4,guntur district,1712940,81291172
Andhra Pradesh,2020,4,krishna district,1744028,81787771
Andhra Pradesh,2020,4,spsr nellore district,1022944,54765443
Andhra Pradesh,2020,4,vizianagaram district,634462,35110885
Andhra Pradesh,2020,4,ysr district,959182,49596303
Andhra Pradesh,2020,4,west godavari district,1163179,51170162
Andhra Pradesh,2020,4,chittoor district,1631331,88232999
Andhra Pradesh,2021,1,east godavari district,1878769,91478749
Andhra Pradesh,2021,1,srikakulam district,782604,40590058
Andhra Pradesh,2021,1,visakhapatnam district,2368081,135908324
Andhra Pradesh,2021,1,prakasam district,1075936,56911479
Andhra Pradesh,2021,1,anantapur district,1394849,73375049
Andhra Pradesh,2021,1,kurnool district,1323411,65326230
Andhra Pradesh,2021,1,guntur district,1843237,92731167
Andhra Pradesh,2021,1,krishna district,1876458,92941553
Andhra Pradesh,2021,1,spsr nellore district,1100541,60691988
Andhra Pradesh,2021,1,vizianagaram district,681621,37752539
Andhra Pradesh,2021,1,ysr district,1032689,53525815
Andhra Pradesh,2021,1,west godavari district,1254117,57392671
Andhra Pradesh,2021,1,chittoor district,1751420,99083825
Andhra Pradesh,2021,2,east godavari district,2006272,84705076
Andhra Pradesh,2021,2,srikakulam district,837958,43740255
Andhra Pradesh,2021,2,visakhapatnam district,2526830,114313154
Andhra Pradesh,2021,2,prakasam district,1151232,76850749
Andhra Pradesh,2021,2,anantapur district,1492738,104568606
Andhra Pradesh,2021,2,kurnool district,1415585,81894678
Andhra Pradesh,2021,2,guntur district,1968681,88248064
Andhra Pradesh,2021,2,krishna district,2002662,85771678
Andhra Pradesh,2021,2,spsr nellore district,1176334,74049216
Andhra Pradesh,2021,2,vizianagaram district,729509,42684475
Andhra Pradesh,2021,2,ysr district,1103004,72255265
Andhra Pradesh,2021,2,west godavari district,1339377,65118788
Andhra Pradesh,2021,2,chittoor district,1870723,110505432
Andhra Pradesh,2021,3,east godavari district,2150622,103626560
Andhra Pradesh,2021,3,srikakulam district,902008,48622126
Andhra Pradesh,2021,3,visakhapatnam district,2707931,139540800
Andhra Pradesh,2021,3,prakasam district,1239147,91533813
Andhra Pradesh,2021,3,anantapur district,1606735,124985545
Andhra Pradesh,2021,3,kurnool district,1522196,101210508
Andhra Pradesh,2021,3,guntur district,2110878,106621413
Andhra Pradesh,2021,3,krishna district,2145423,104358295
Andhra Pradesh,2021,3,spsr nellore district,1263550,90102349
Andhra Pradesh,2021,3,vizianagaram district,784444,46277311
Andhra Pradesh,2021,3,ysr district,1183377,86369956
Andhra Pradesh,2021,3,west godavari district,1436576,80244808
Andhra Pradesh,2021,3,chittoor district,2007011,135043395
Andhra Pradesh,2021,4,east godavari district,2294347,142536856
Andhra Pradesh,2021,4,srikakulam district,965335,61654215
Andhra Pradesh,2021,4,visakhapatnam district,2888774,188757640
Andhra Pradesh,2021,4,prakasam district,1325728,86410317
Andhra Pradesh,2021,4,anantapur district,1719437,120768682
Andhra Pradesh,2021,4,kurnool district,1628242,97379271
Andhra Pradesh,2021,4,guntur district,2252443,130920743
Andhra Pradesh,2021,4,krishna district,2288148,134436469
Andhra Pradesh,2021,4,spsr nellore district,1349290,90814672
Andhra Pradesh,2021,4,vizianagaram district,839606,56101822
Andhra Pradesh,2021,4,ysr district,1262963,83534122
Andhra Pradesh,2021,4,west godavari district,1532898,100007280
Andhra Pradesh,2021,4,chittoor district,2141818,154395512
Andhra Pradesh,2022,1,east godavari district,2432305,87134562
Andhra Pradesh,2022,1,srikakulam district,1027283,46691467
Andhra Pradesh,2022,1,visakhapatnam district,3061324,88803090
Andhra Pradesh,2022,1,prakasam district,1408929,104851997
Andhra Pradesh,2022,1,anantapur district,1827094,155792533
Andhra Pradesh,2022,1,kurnool district,1729513,119653214
Andhra Pradesh,2022,1,guntur district,2387051,88844052
Andhra Pradesh,2022,1,krishna district,2423373,85871644
Andhra Pradesh,2022,1,spsr nellore district,1431664,101671767
Andhra Pradesh,2022,1,vizianagaram district,892889,44804002
Andhra Pradesh,2022,1,ysr district,1339782,98878499
Andhra Pradesh,2022,1,west godavari district,1626039,87642475
Andhra Pradesh,2022,1,chittoor district,2270705,144146671
Andhra Pradesh,2022,2,east godavari district,2564165,93383888
Andhra Pradesh,2022,2,srikakulam district,1086164,51087942
Andhra Pradesh,2022,2,visakhapatnam district,3226029,93552701
Andhra Pradesh,2022,2,prakasam district,1487589,108172758
Andhra Pradesh,2022,2,anantapur district,1928213,181499094
Andhra Pradesh,2022,2,kurnool district,1825280,136447455
Andhra Pradesh,2022,2,guntur district,2514794,91997209
Andhra Pradesh,2022,2,krishna district,2552107,95341487
Andhra Pradesh,2022,2,spsr nellore district,1509927,108755384
Andhra Pradesh,2022,2,vizianagaram district,943242,50230853
Andhra Pradesh,2022,2,ysr district,1412848,106157470
Andhra Pradesh,2022,2,west godavari district,1714357,103338893
Andhra Pradesh,2022,2,chittoor district,2392549,158771722
Andhra Pradesh,2022,3,east godavari district,2702234,85780890
Andhra Pradesh,2022,3,srikakulam district,1147016,46323107
Andhra Pradesh,2022,3,visakhapatnam district,3397514,87888969
Andhra Pradesh,2022,3,prakasam district,1567520,114185009
Andhra Pradesh,2022,3,anantapur district,2030824,181038520
Andhra Pradesh,2022,3,kurnool district,1924127,143715547
Andhra Pradesh,2022,3,guntur district,2647100,91146114
Andhra Pradesh,2022,3,krishna district,2685215,86220959
Andhra Pradesh,2022,3,spsr nellore district,1588875,105928407
Andhra Pradesh,2022,3,vizianagaram district,995141,46767889
Andhra Pradesh,2022,3,ysr district,1487140,107976611
Andhra Pradesh,2022,3,west godavari district,1805967,97509407
Andhra Pradesh,2022,3,chittoor district,2517657,162524274
Andhra Pradesh,2022,4,east godavari district,2835087,173720880
Andhra Pradesh,2022,4,srikakulam district,1204785,72666058
Andhra Pradesh,2022,4,visakhapatnam district,3566854,208604256
Andhra Pradesh,2022,4,prakasam district,1642503,94432083
Andhra Pradesh,2022,4,anantapur district,2128066,136685634
Andhra Pradesh,2022,4,kurnool district,2018290,105333688
Andhra Pradesh,2022,4,guntur district,2774365,144773169
Andhra Pradesh,2022,4,krishna district,2813645,156902257
Andhra Pradesh,2022,4,spsr nellore district,1663684,103101986
Andhra Pradesh,2022,4,vizianagaram district,1044490,64406405
Andhra Pradesh,2022,4,ysr district,1556901,93975668
Andhra Pradesh,2022,4,west godavari district,1893310,129116752
Andhra Pradesh,2022,4,chittoor district,2636036,189655966
Andhra Pradesh,2023,1,east godavari district,2965296,98931582
Andhra Pradesh,2023,1,srikakulam district,1263204,48743038
Andhra Pradesh,2023,1,visakhapatnam district,3732544,107253885
Andhra Pradesh,2023,1,prakasam district,1719910,112502189
Andhra Pradesh,2023,1,anantapur district,2228505,177793392
Andhra Pradesh,2023,1,kurnool district,2114023,149581663
Andhra Pradesh,2023,1,guntur district,2900895,103514892
Andhra Pradesh,2023,1,krishna district,2941585,98727644
Andhra Pradesh,2023,1,spsr nellore district,1740294,111993275
Andhra Pradesh,2023,1,vizianagaram district,1094782,55519223
Andhra Pradesh,2023,1,ysr district,1628595,109842928
Andhra Pradesh,2023,1,west godavari district,1980446,102965151
Andhra Pradesh,2023,1,chittoor district,2755784,164669558
Andhra Pradesh,2023,2,east godavari district,3082893,101375784
Andhra Pradesh,2023,2,srikakulam district,1317771,48040159
Andhra Pradesh,2023,2,visakhapatnam district,3877504,115516314
Andhra Pradesh,2023,2,prakasam district,1792637,104288559
Andhra Pradesh,2023,2,anantapur district,2323796,164437247
Andhra Pradesh,2023,2,kurnool district,2202517,142843895
Andhra Pradesh,2023,2,guntur district,3014655,97915941
Andhra Pradesh,2023,2,krishna district,3054956,99723659
Andhra Pradesh,2023,2,spsr nellore district,1811781,113350865
Andhra Pradesh,2023,2,vizianagaram district,1141578,55405616
Andhra Pradesh,2023,2,ysr district,1694843,98586928
Andhra Pradesh,2023,2,west godavari district,2059880,116005083
Andhra Pradesh,2023,2,chittoor district,2865250,170462384
Andhra Pradesh,2023,3,east godavari district,3211557,83823834
Andhra Pradesh,2023,3,srikakulam district,1375950,44064462
Andhra Pradesh,2023,3,visakhapatnam district,4035323,116087299
Andhra Pradesh,2023,3,prakasam district,1868997,94303883
Andhra Pradesh,2023,3,anantapur district,2421293,152875757
Andhra Pradesh,2023,3,kurnool district,2295754,124493256
Andhra Pradesh,2023,3,guntur district,3137289,71855007
Andhra Pradesh,2023,3,krishna district,3177643,73280755
Andhra Pradesh,2023,3,spsr nellore district,1887005,73583227
Andhra Pradesh,2023,3,vizianagaram district,1190571,41978556
Andhra Pradesh,2023,3,ysr district,1764648,78787151
Andhra Pradesh,2023,3,west godavari district,2146530,73274852
Andhra Pradesh,2023,3,chittoor district,2981337,129032458
Andhra Pradesh,2023,4,east godavari district,3329036,143550882
Andhra Pradesh,2023,4,srikakulam district,1430226,48122562
Andhra Pradesh,2023,4,visakhapatnam district,4180797,163404880
Andhra Pradesh,2023,4,prakasam district,1939979,69411660
Andhra Pradesh,2023,4,anantapur district,2512744,123617506
Andhra Pradesh,2023,4,kurnool district,2383042,86461750
Andhra Pradesh,2023,4,guntur district,3251121,132403935
Andhra Pradesh,2023,4,krishna district,3291814,121925706
Andhra Pradesh,2023,4,spsr nellore district,1956706,78993397
Andhra Pradesh,2023,4,vizianagaram district,1236735,42889385
Andhra Pradesh,2023,4,ysr district,1829864,69721701
Andhra Pradesh,2023,4,west godavari district,2227243,86297777
Andhra Pradesh,2023,4,chittoor district,3089391,143201818
Arunachal Pradesh,2018,1,lower subansiri district,498,0
Arunachal Pradesh,2018,1,tirap district,557,0
Arunachal Pradesh,2018,1,papum pare district,7649,0
Arunachal Pradesh,2018,1,anjaw district,278,0
