State,Year,Quater,Pincodes,Registered_Users
Andaman & Nicobar,2018,1,744103,1608
Andaman & Nicobar,2018,1,744101,1108
Andaman & Nicobar,2018,1,744105,1075
Andaman & Nicobar,2018,1,744102,1006
Andaman & Nicobar,2018,1,744104,272
Andaman & Nicobar,2018,1,744202,237
Andaman & Nicobar,2018,1,744112,215
Andaman & Nicobar,2018,1,744301,207
Andaman & Nicobar,2018,1,744107,196
Andaman & Nicobar,2018,1,744211,156
Andaman & Nicobar,2018,2,744103,2188
Andaman & Nicobar,2018,2,744101,1521
Andaman & Nicobar,2018,2,744105,1492
Andaman & Nicobar,2018,2,744102,1419
Andaman & Nicobar,2018,2,744104,396
Andaman & Nicobar,2018,2,744202,343
Andaman & Nicobar,2018,2,744112,299
Andaman & Nicobar,2018,2,744107,293
Andaman & Nicobar,2018,2,744301,273
Andaman & Nicobar,2018,2,744211,240
Andaman & Nicobar,2018,3,744103,2741
Andaman & Nicobar,2018,3,744101,1978
Andaman & Nicobar,2018,3,744105,1935
Andaman & Nicobar,2018,3,744102,1803
Andaman & Nicobar,2018,3,744104,507
Andaman & Nicobar,2018,3,744202,446
Andaman & Nicobar,2018,3,744112,388
Andaman & Nicobar,2018,3,744107,384
Andaman & Nicobar,2018,3,744301,372
Andaman & Nicobar,2018,3,744211,327
Andaman & Nicobar,2018,4,744103,3373
Andaman & Nicobar,2018,4,744101,2498
Andaman & Nicobar,2018,4,744105,2416
Andaman & Nicobar,2018,4,744102,2231
Andaman & Nicobar,2018,4,744104,634
Andaman & Nicobar,2018,4,744202,554
Andaman & Nicobar,2018,4,744107,548
Andaman & Nicobar,2018,4,744112,496
Andaman & Nicobar,2018,4,744211,433
Andaman & Nicobar,2018,4,744301,425
Andaman & Nicobar,2019,1,744103,4136
Andaman & Nicobar,2019,1,744101,3030
Andaman & Nicobar,2019,1,744105,2994
Andaman & Nicobar,2019,1,744102,2667
Andaman & Nicobar,2019,1,744104,756
Andaman & Nicobar,2019,1,744202,753
Andaman & Nicobar,2019,1,744107,667
Andaman & Nicobar,2019,1,744112,585
Andaman & Nicobar,2019,1,744211,524
Andaman & Nicobar,2019,1,744301,488
Andaman & Nicobar,2019,2,744103,4748
Andaman & Nicobar,2019,2,744101,3631
Andaman & Nicobar,2019,2,744105,3547
Andaman & Nicobar,2019,2,744102,3008
Andaman & Nicobar,2019,2,744202,885
Andaman & Nicobar,2019,2,744104,878
Andaman & Nicobar,2019,2,744107,787
Andaman & Nicobar,2019,2,744112,672
Andaman & Nicobar,2019,2,744211,633
Andaman & Nicobar,2019,2,744301,534
Andaman & Nicobar,2019,3,744103,5218
Andaman & Nicobar,2019,3,744101,4026
Andaman & Nicobar,2019,3,744105,3920
Andaman & Nicobar,2019,3,744102,3250
Andaman & Nicobar,2019,3,744202,982
Andaman & Nicobar,2019,3,744104,975
Andaman & Nicobar,2019,3,744107,885
Andaman & Nicobar,2019,3,744112,765
Andaman & Nicobar,2019,3,744211,701
Andaman & Nicobar,2019,3,744301,575
Andaman & Nicobar,2019,4,744103,5637
Andaman & Nicobar,2019,4,744101,4321
Andaman & Nicobar,2019,4,744105,4277
Andaman & Nicobar,2019,4,744102,3485
Andaman & Nicobar,2019,4,744202,1087
Andaman & Nicobar,2019,4,744104,1062
Andaman & Nicobar,2019,4,744107,953
Andaman & Nicobar,2019,4,744112,812
Andaman & Nicobar,2019,4,744211,783
Andaman & Nicobar,2019,4,744301,611
Andaman & Nicobar,2020,1,744103,6108
Andaman & Nicobar,2020,1,744101,4689
Andaman & Nicobar,2020,1,744105,4684
Andaman & Nicobar,2020,1,744102,3727
Andaman & Nicobar,2020,1,744202,1216
Andaman & Nicobar,2020,1,744104,1154
Andaman & Nicobar,2020,1,744107,1062
Andaman & Nicobar,2020,1,744112,889
Andaman & Nicobar,2020,1,744211,886
Andaman & Nicobar,2020,1,744301,669
Andaman & Nicobar,2020,2,744103,6804
Andaman & Nicobar,2020,2,744105,5479
Andaman & Nicobar,2020,2,744101,5365
Andaman & Nicobar,2020,2,744102,4066
Andaman & Nicobar,2020,2,744202,1475
Andaman & Nicobar,2020,2,744104,1333
Andaman & Nicobar,2020,2,744107,1252
Andaman & Nicobar,2020,2,744112,1039
Andaman & Nicobar,2020,2,744211,1036
Andaman & Nicobar,2020,2,744205,806
Andaman & Nicobar,2020,3,744103,8318
Andaman & Nicobar,2020,3,744105,7007
Andaman & Nicobar,2020,3,744101,6881
Andaman & Nicobar,2020,3,744102,4919
Andaman & Nicobar,2020,3,744202,1965
Andaman & Nicobar,2020,3,744104,1718
Andaman & Nicobar,2020,3,744107,1710
Andaman & Nicobar,2020,3,744112,1372
Andaman & Nicobar,2020,3,744211,1279
Andaman & Nicobar,2020,3,744205,1008
Andaman & Nicobar,2020,4,744103,10408
Andaman & Nicobar,2020,4,744105,8962
Andaman & Nicobar,2020,4,744101,8593
Andaman & Nicobar,2020,4,744102,5882
Andaman & Nicobar,2020,4,744202,2711
Andaman & Nicobar,2020,4,744107,2346
Andaman & Nicobar,2020,4,744104,2167
Andaman & Nicobar,2020,4,744112,1761
Andaman & Nicobar,2020,4,744211,1579
Andaman & Nicobar,2020,4,744205,1346
Andaman & Nicobar,2021,1,744103,11416
Andaman & Nicobar,2021,1,744105,9934
Andaman & Nicobar,2021,1,744101,9457
Andaman & Nicobar,2021,1,744102,6395
Andaman & Nicobar,2021,1,744202,3005
Andaman & Nicobar,2021,1,744107,2586
Andaman & Nicobar,2021,1,744104,2383
Andaman & Nicobar,2021,1,744112,1940
Andaman & Nicobar,2021,1,744211,1774
Andaman & Nicobar,2021,1,744205,1505
Andaman & Nicobar,2021,2,744103,12268
Andaman & Nicobar,2021,2,744105,10668
Andaman & Nicobar,2021,2,744101,10120
Andaman & Nicobar,2021,2,744102,6837
Andaman & Nicobar,2021,2,744202,3261
Andaman & Nicobar,2021,2,744107,2783
Andaman & Nicobar,2021,2,744104,2573
Andaman & Nicobar,2021,2,744112,2083
Andaman & Nicobar,2021,2,744211,1904
Andaman & Nicobar,2021,2,744205,1626
Andaman & Nicobar,2021,3,744103,13198
Andaman & Nicobar,2021,3,744105,11480
Andaman & Nicobar,2021,3,744101,10866
Andaman & Nicobar,2021,3,744102,7313
Andaman & Nicobar,2021,3,744202,3543
Andaman & Nicobar,2021,3,744107,3027
Andaman & Nicobar,2021,3,744104,2777
Andaman & Nicobar,2021,3,744112,2250
Andaman & Nicobar,2021,3,744211,2055
Andaman & Nicobar,2021,3,744205,1771
Andaman & Nicobar,2021,4,744103,14127
Andaman & Nicobar,2021,4,744105,12300
Andaman & Nicobar,2021,4,744101,11623
Andaman & Nicobar,2021,4,744102,7813
Andaman & Nicobar,2021,4,744202,3815
Andaman & Nicobar,2021,4,744107,3247
Andaman & Nicobar,2021,4,744104,2962
Andaman & Nicobar,2021,4,744112,2411
Andaman & Nicobar,2021,4,744211,2200
Andaman & Nicobar,2021,4,744205,1902
Andaman & Nicobar,2022,1,744103,15011
Andaman & Nicobar,2022,1,744105,13070
Andaman & Nicobar,2022,1,744101,12300
Andaman & Nicobar,2022,1,744102,8271
Andaman & Nicobar,2022,1,744202,4107
Andaman & Nicobar,2022,1,744107,3455
Andaman & Nicobar,2022,1,744104,3146
Andaman & Nicobar,2022,1,744112,2552
Andaman & Nicobar,2022,1,744211,2344
Andaman & Nicobar,2022,1,744205,2034
Andaman & Nicobar,2022,2,744103,15799
Andaman & Nicobar,2022,2,744105,13791
Andaman & Nicobar,2022,2,744101,12947
Andaman & Nicobar,2022,2,744102,8709
Andaman & Nicobar,2022,2,744202,4361
Andaman & Nicobar,2022,2,744107,3674
Andaman & Nicobar,2022,2,744104,3319
Andaman & Nicobar,2022,2,744112,2700
Andaman & Nicobar,2022,2,744211,2471
Andaman & Nicobar,2022,2,744205,2162
Andaman & Nicobar,2022,3,744103,16666
Andaman & Nicobar,2022,3,744105,14503
Andaman & Nicobar,2022,3,744101,13649
Andaman & Nicobar,2022,3,744102,9148
Andaman & Nicobar,2022,3,744202,4572
Andaman & Nicobar,2022,3,744107,3868
Andaman & Nicobar,2022,3,744104,3493
Andaman & Nicobar,2022,3,744112,2837
Andaman & Nicobar,2022,3,744211,2577
Andaman & Nicobar,2022,3,744205,2268
Andaman & Nicobar,2022,4,744103,17406
Andaman & Nicobar,2022,4,744105,15185
Andaman & Nicobar,2022,4,744101,14337
Andaman & Nicobar,2022,4,744102,9591
Andaman & Nicobar,2022,4,744202,4760
Andaman & Nicobar,2022,4,744107,4051
Andaman & Nicobar,2022,4,744104,3647
Andaman & Nicobar,2022,4,744112,2975
Andaman & Nicobar,2022,4,744211,2679
Andaman & Nicobar,2022,4,744205,2358
Andaman & Nicobar,2023,1,744103,18209
Andaman & Nicobar,2023,1,744105,15848
Andaman & Nicobar,2023,1,744101,15006
Andaman & Nicobar,2023,1,744102,10033
Andaman & Nicobar,2023,1,744202,4993
Andaman & Nicobar,2023,1,744107,4239
Andaman & Nicobar,2023,1,744104,3795
Andaman & Nicobar,2023,1,744112,3141
